장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
3,2,30201010302,3천만원 이하,본부장,,,,담당,,제3장 구매 2절 1조 1항 3호 2목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201020000,구매계약 승인,,,,,,,제3장 구매 2절 1조 2항,
3,2,30201020100,계약부서 계약체결,본부장,,,,,,제3장 구매 2절 1조 2항 1호,
3,2,30201030000,계약변경,,,,,,,제3장 구매 2절 1조 3항,
3,2,30201030100,수요부서 변경계약(품의),CEO,,,,,,제3장 구매 2절 1조 3항 1호,"단, 계약변경시 계약금액 변동 없이 계약기간(납기) 변경 시 본부장 승인 가능
접수경로는 경영기획팀 계약담당자"
3,2,30201030101,1억원 초과,CEO,,,,담당,,제3장 구매 2절 1조 3항 1호 1목,접수경로는 경영기획팀 계약담당자
3,2,30201030102,1억원 이하,본부장,,,,담당,,제3장 구매 2절 1조 3항 1호 2목,접수경로는 경영기획팀 계약담당자
3,2,30201030200,계약부서 변경계약(승인),본부장,,,,,,제3장 구매 2절 1조 3항 2호,
3,2,30201030300,"계약의 해제, 해지",,,,,,,제3장 구매 2절 1조 3항 3호,
3,2,30201030301,1억원 초과,CEO,,,,담당,,제3장 구매 2절 1조 3항 3호 1목,"접수경로는 경영기획팀 계약담당자
계약 해제, 해지에 따른 비용 집행은 수용부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201030302,1억원 이하,본부장,,,,담당,,제3장 구매 2절 1조 3항 3호 2목,"접수경로는 경영기획팀 계약담당자
계약 해제, 해지에 따른 비용 집행은 수용부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201040000,검사보고 승인,,,,,,,제3장 구매 2절 1조 4항,
3,2,30201040100,기성 검사 및 부분준공 검사 보고,,,,,,,제3장 구매 2절 1조 4항 1호,
3,2,30201040101,1천만원 초과,본부장,,,,,,제3장 구매 2절 1조 4항 1호 1목,기성 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행
3,2,30201040102,1천만원 이하,팀장,,,,,,제3장 구매 2절 1조 4항 1호 2목,기성 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행
3,2,30201040200,준공 검사 보고,,,,,,,제3장 구매 2절 1조 4항 2호,
3,2,30201040201,1억원 초과,본부장,,,,,,제3장 구매 2절 1조 4항 2호 1목,준공금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행
3,2,30201040202,1억원 이하,팀장,,,,,,제3장 구매 2절 1조 4항 2호 2목,준공금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행
